County,Dist,District,aid_17_18,aid_18_19,aid_change,Aid Percent Difference,aid_change_perc
Atlantic,590,Buena Regional,19421492,19421492,0,0,0
Atlantic,4240,Port Republic City,1078238,1078238,0,0,0
Burlington,5490,Washington Twp,660322,660322,0,0,0
Camden,580,Brooklawn Boro,4482694,4482694,0,0,0
Camden,3770,Oaklyn Boro,2627039,2627039,0,0,0
Cape May,710,Cape May City,557830,557830,0,0,0
Cape May,1080,Dennis Twp,6043714,6043714,0,0,0
Cape May,2820,Lower Cape May Regional,9840541,9840541,0,0,0
Cumberland,950,Commercial Twp,10269118,10269118,0,0,0
Cumberland,1120,Downe Twp,1820611,1820611,0,0,0
Gloucester,870,Clearview Regional,15000094,15000094,0,0,0
Gloucester,2070,Harrison Twp,6171027,6171027,0,0,0
Hudson,2210,Hoboken City,10468870,10468870,0,0,0
Hunterdon,20,Alexandria Twp,1646845,1646845,0,0,0
Hunterdon,430,Bloomsbury Boro,1349435,1349435,0,0,0
Hunterdon,670,Califon Boro,320754,320754,0,0,0
Hunterdon,920,Clinton Twp,2323341,2323341,0,0,0
Hunterdon,1040,Delaware Twp,1163425,1163425,0,0,0
Hunterdon,1160,East Amwell Twp,884867,884867,0,0,0
Hunterdon,1600,Franklin Twp,340425,340425,0,0,0
Hunterdon,1970,Hampton Boro,958360,958360,0,0,0
Middlesex,4830,South Amboy City,6627860,6627860,0,0,0
Monmouth,1650,Freehold Regional,51564083,51564083,0,0,0
Monmouth,3500,Neptune City,2061529,2061529,0,0,0
Monmouth,4520,Roosevelt Boro,1000970,1000970,0,0,0
Monmouth,5230,Union Beach,8283817,8283817,0,0,0
Ocean,5220,Tuckerton Boro,2278716,2278716,0,0,0
Sussex,2490,Lafayette Twp,841528,841528,0,0,0
Sussex,3300,Montague Twp,2675796,2675796,0,0,0
Sussex,3840,Ogdensburg Boro,2259602,2259602,0,0,0
Warren,1840,Greenwich Twp,6029016,6029016,0,0,0
Somerset,2170,Hillsborough Twp,25205490,25208652,3162,0.000125,0.0125
Camden,880,Clementon Boro,6375111,6378661,3550,0.000557,0.0557
Gloucester,1730,Glassboro,16571091,16581825,10734,0.000648,0.0648
Camden,5560,Waterford Twp,12641824,12651284,9460,0.000748,0.0748
Ocean,2350,Island Heights Boro,298853,299080,227,0.00076,0.076
Cumberland,1460,Fairfield Twp,6106657,6112220,5563,0.000911,0.0911
Burlington,4740,Shamong Twp,4251771,4258290,6519,0.001533,0.1533
Burlington,1030,Delanco Twp,2492244,2497232,4988,0.002001,0.2001
Camden,1880,Haddon Heights Boro,1729957,1734308,4351,0.002515,0.2515
Cumberland,3230,Millville City,67197040,67381936,184896,0.002752,0.2752
Salem,5320,Upper Pittsgrove Twp,3506443,3516152,9709,0.002769,0.2769
Mercer,1950,Hamilton Twp,73888102,74115381,227279,0.003076,0.3076
Cumberland,5390,Vineland City,134750848,135167969,417121,0.003096,0.3096
Monmouth,3510,Neptune Twp,32091785,32203585,111800,0.003484,0.3484
Atlantic,4180,Pleasantville City,64048801,64285734,236933,0.003699,0.3699
Burlington,610,Burlington Co Vocational,14599895,14656986,57091,0.00391,0.391
Ocean,4190,Plumsted Twp,11569334,11617962,48628,0.004203,0.4203
