county,district,dist_code,prev_1516,latest_1617,one_year_change,aid_change
ATLANTIC,ABSECON CITY,10,"1,518,225","1,541,266","23,041",1.50%
ATLANTIC,ATLANTIC CITY,110,"17,838,111","18,859,785","1,021,674",5.70%
ATLANTIC,ATLANTIC CO VOCATIONAL,120,"3,657,826","3,700,925","43,099",1.20%
ATLANTIC,BRIGANTINE CITY,570,"2,291,507","2,301,796","10,289",0.40%
ATLANTIC,BUENA REGIONAL,590,"19,404,322","19,421,492","17,170",0.10%
ATLANTIC,CORBIN CITY,960,"698,501","700,930","2,429",0.30%
ATLANTIC,EGG HARBOR CITY,1300,"5,201,112","5,242,675","41,563",0.80%
ATLANTIC,EGG HARBOR TWP,1310,"40,025,978","40,384,851","358,873",0.90%
ATLANTIC,ESTELL MANOR CITY,1410,"2,125,160","2,135,970","10,810",0.50%
ATLANTIC,FOLSOM BORO,1540,"5,570,108","5,638,614","68,506",1.20%
ATLANTIC,GALLOWAY TWP,1690,"23,639,348","23,756,598","117,250",0.50%
ATLANTIC,GREATER EGG HARBOR REG,1790,"31,229,240","31,349,652","120,412",0.40%
ATLANTIC,HAMILTON TWP,1940,"22,755,139","22,948,512","193,373",0.80%
ATLANTIC,HAMMONTON TOWN,1960,"15,273,362","15,483,174","209,812",1.40%
ATLANTIC,LINWOOD CITY,2680,"1,571,925","1,579,695","7,770",0.50%
ATLANTIC,LONGPORT,2780,"91,717","92,674",957,1.00%
ATLANTIC,MAINLAND REGIONAL,2910,"7,626,838","7,696,244","69,406",0.90%
ATLANTIC,MARGATE CITY,3020,"546,380","552,570","6,190",1.10%
ATLANTIC,MULLICA TWP,3480,"5,366,179","5,407,924","41,745",0.80%
ATLANTIC,NORTHFIELD CITY,3720,"3,885,179","3,908,678","23,499",0.60%
ATLANTIC,PLEASANTVILLE CITY,4180,"64,837,599","64,881,006","43,407",0.10%
ATLANTIC,PORT REPUBLIC CITY,4240,"1,041,213","1,068,889","27,676",2.70%
ATLANTIC,SOMERS POINT CITY,4800,"5,630,506","5,680,239","49,733",0.90%
ATLANTIC,VENTNOR CITY,5350,"2,088,885","2,104,029","15,144",0.70%
ATLANTIC,WEYMOUTH TWP,5760,"2,371,540","2,373,620","2,080",0.10%
BERGEN,ALLENDALE BORO,40,"335,548","346,196","10,648",3.20%
BERGEN,ALPINE BORO,80,"143,886","146,821","2,935",2.00%
BERGEN,BERGEN COUNTY VOCATIONAL,290,"5,651,234","5,695,547","44,313",0.80%
BERGEN,BERGENFIELD BORO,300,"10,782,297","10,896,337","114,040",1.10%
BERGEN,BOGOTA BORO,440,"5,628,951","5,662,189","33,238",0.60%
BERGEN,CARLSTADT BORO,740,"251,986","258,676","6,690",2.70%
BERGEN,CARLSTADT-EAST RUTHERFORD,745,"360,672","367,314","6,642",1.80%
BERGEN,CLIFFSIDE PARK BORO,890,"3,603,914","3,665,603","61,689",1.70%
BERGEN,CLOSTER BORO,930,"434,763","447,865","13,102",3.00%
BERGEN,CRESSKILL BORO,990,"744,580","768,572","23,992",3.20%
BERGEN,DEMAREST BORO,1070,"324,035","332,477","8,442",2.60%
BERGEN,DUMONT BORO,1130,"8,622,469","8,679,571","57,102",0.70%
BERGEN,EAST RUTHERFORD BORO,1230,"599,389","611,198","11,809",2.00%
BERGEN,EDGEWATER BORO,1270,"944,565","975,360","30,795",3.30%
BERGEN,ELMWOOD PARK,1345,"3,060,505","3,127,693","67,188",2.20%
BERGEN,EMERSON BORO,1360,"494,022","507,974","13,952",2.80%
BERGEN,ENGLEWOOD CITY,1370,"9,497,356","9,649,835","152,479",1.60%
BERGEN,ENGLEWOOD CLIFFS BORO,1380,"293,971","301,245","7,274",2.50%
BERGEN,FAIR LAWN BORO,1450,"3,360,837","3,423,378","62,541",1.90%
BERGEN,FAIRVIEW BORO,1470,"7,393,649","7,478,669","85,020",1.10%
BERGEN,FORT LEE BORO,1550,"2,046,454","2,101,283","54,829",2.70%
BERGEN,FRANKLIN LAKES BORO,1580,"736,334","767,264","30,930",4.20%
BERGEN,GARFIELD CITY,1700,"55,908,626","56,248,834","340,208",0.60%
BERGEN,GLEN ROCK BORO,1760,"1,081,249","1,111,263","30,014",2.80%
BERGEN,HACKENSACK CITY,1860,"12,816,160","12,963,674","147,514",1.20%
BERGEN,HARRINGTON PARK BORO,2050,"288,619","296,531","7,912",2.70%
BERGEN,HASBROUCK HEIGHTS BORO,2080,"1,143,379","1,172,404","29,025",2.50%
